date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
15/07/2022,South Australia,SA,4441,645753,6,577,9591,5217501,4441,645753,1980,35,266,1,8,0,1,9569,4260542,83
12/03/2022,Queensland,QLD,1418,399874,6,632,6074,6911014,1418,399874,2210,-3,247,-1,15,-1,4,18190,10439876,83
31/12/2021,New South Wales,NSW,21131,187504,6,664,148410,25169694,21131,187504,2802,86,832,6,69,-5,19,38138,13699859,83
6/01/2022,New South Wales,NSW,34960,342133,6,690,111231,25779207,34960,342133,2802,118,1609,12,131,6,38,69480,13894098,83
14/10/2022,Western Australia,WA,4837,1164098,6,697,7653,4575400,4837,1164098,0,-11,152,-2,3,-1,1,0,0,83
3/08/2022,South Australia,SA,2863,717162,6,704,9331,5394813,2863,717162,1980,-15,337,2,11,0,1,0,4323540,83
24/03/2022,Queensland,QLD,10434,691564,6,710,14480,7005025,10434,691564,2210,19,271,4,11,0,1,13421,10604699,83
11/11/2022,Western Australia,WA,8028,1189668,6,742,7760,4617501,8028,1189668,0,34,176,2,5,0,1,0,0,83
2/04/2022,Queensland,QLD,10703,776011,6,751,10459,7110852,10703,776011,2210,19,422,1,15,0,5,11940,10713115,83
12/04/2022,Queensland,QLD,6657,863536,6,786,4331,7197358,6657,863536,2210,54,572,2,16,0,5,10007,10793795,83
20/04/2022,Queensland,QLD,-5,919282,6,813,6018,7251076,-5,919282,2210,30,594,5,25,0,4,11697,10840692,83
3/09/2022,South Australia,SA,532,755379,6,835,3465,5576322,532,755379,1980,-12,93,3,8,0,2,0,0,83
29/04/2022,Queensland,QLD,7704,981974,6,868,8432,7316915,7704,981974,2210,-50,492,-4,11,0,4,10495,10917220,83
23/05/2022,Queensland,QLD,5838,1140554,6,985,4924,7510510,5838,1140554,2210,-31,401,0,17,0,0,1287,11116820,83
1/06/2022,Queensland,QLD,4339,1178966,6,1062,9536,7617601,4339,1178966,2210,-33,326,1,5,0,0,11583,11201071,83
3/06/2022,Queensland,QLD,4116,1187384,6,1079,8215,7634766,4116,1187384,2210,-11,305,-4,3,0,0,10620,11223430,83
14/06/2022,Queensland,QLD,3836,1224031,6,1131,4672,7707094,3836,1224031,2210,15,373,3,8,0,0,7331,11296409,83
22/06/2022,Queensland,QLD,3065,1255837,6,1186,7835,7762210,3065,1255837,2210,6,497,0,7,0,0,8442,11349832,83
24/06/2022,Queensland,QLD,4957,1265588,6,1197,8301,7778264,4957,1265588,2210,10,522,1,7,0,0,8394,11366241,83
1/07/2022,Queensland,QLD,0,1292709,6,1259,8519,7908502,0,1292709,2210,-34,597,1,15,0,0,8039,11405343,83
